Collection Time,Status,CPU (%),Memory (%),Disk Used (%),Reason
May 6 2022 9:19:44 PM PDT,Trouble,21.13,81.27,72.32,Memory Utilization exceeds 80 %
May 6 2022 9:18:46 PM PDT,Trouble,19.38,81.23,72.31,Memory Utilization exceeds 80 %
May 6 2022 9:17:43 PM PDT,Trouble,18.88,81.77,72.31,Memory Utilization exceeds 80 %
May 6 2022 9:16:43 PM PDT,Trouble,17.75,81.53,72.31,Memory Utilization exceeds 80 %
May 6 2022 9:15:44 PM PDT,Trouble,19,81.41,72.31,Memory Utilization exceeds 80 %
May 6 2022 9:14:44 PM PDT,Trouble,21.13,80.78,72.31,Memory Utilization exceeds 80 %
May 6 2022 9:13:44 PM PDT,Up,14.75,80.83,72.31,-
May 6 2022 9:12:43 PM PDT,Up,18.75,80.76,72.31,-
May 6 2022 9:11:44 PM PDT,Up,15.88,80.93,72.31,-
May 6 2022 9:10:44 PM PDT,Up,22.13,80.16,72.32,-
May 6 2022 9:09:44 PM PDT,Up,17.88,79.71,72.31,-
May 6 2022 9:08:43 PM PDT,Up,21.75,79.39,72.31,-
May 6 2022 9:07:44 PM PDT,Up,21.5,79.32,72.31,-
May 6 2022 9:06:43 PM PDT,Up,21.13,78.81,72.31,-
May 6 2022 9:05:43 PM PDT,Up,19.75,78.73,72.31,-
May 6 2022 9:04:44 PM PDT,Up,19.38,78.85,72.31,-
May 6 2022 9:03:44 PM PDT,Up,21.75,78.59,72.31,-
May 6 2022 9:02:46 PM PDT,Up,20.75,78.29,72.31,-
May 6 2022 9:01:44 PM PDT,Up,20.13,77.52,72.31,-
May 6 2022 9:00:44 PM PDT,Up,18.63,77.53,72.3,-
May 6 2022 8:59:43 PM PDT,Up,16.38,77.43,72.3,-
May 6 2022 8:58:44 PM PDT,Up,20.75,77.25,72.3,-
May 6 2022 8:57:44 PM PDT,Up,20,76.58,72.3,-
May 6 2022 8:56:44 PM PDT,Up,17.88,75.84,72.3,-
May 6 2022 8:55:44 PM PDT,Up,18.88,75.79,72.3,-
May 6 2022 8:54:43 PM PDT,Up,20.38,75.34,72.29,-
May 6 2022 8:53:43 PM PDT,Up,19.25,75.67,72.29,-
May 6 2022 8:52:44 PM PDT,Up,15.75,75.17,72.29,-
May 6 2022 8:51:43 PM PDT,Up,22.75,74.7,72.29,-
May 6 2022 8:50:43 PM PDT,Up,23.75,74.85,72.29,-
May 6 2022 8:49:44 PM PDT,Up,16,74.11,72.29,-
May 6 2022 8:48:44 PM PDT,Up,22.13,73.89,72.29,-
May 6 2022 8:47:44 PM PDT,Trouble,21.25,83.69,72.28,Memory Utilization exceeds 80 %
May 6 2022 8:46:46 PM PDT,Trouble,24.88,83.75,72.28,Memory Utilization exceeds 80 %
May 6 2022 8:45:43 PM PDT,Up,20.63,83.69,72.29,-
May 6 2022 8:44:44 PM PDT,Up,23.5,82.17,72.29,-
May 6 2022 8:43:44 PM PDT,Up,22.13,80.97,72.29,-
May 6 2022 8:42:44 PM PDT,Up,19,80.35,72.28,-
May 6 2022 8:41:43 PM PDT,Up,22.88,79.15,72.28,-
May 6 2022 8:40:43 PM PDT,Up,20.13,78.81,72.28,-
May 6 2022 8:39:44 PM PDT,Up,24,77.94,72.4,-
May 6 2022 8:38:44 PM PDT,Up,23.38,76.96,72.28,-
May 6 2022 8:37:44 PM PDT,Up,18.88,76.7,72.28,-
May 6 2022 8:36:44 PM PDT,Up,20.25,75.67,72.28,-
May 6 2022 8:35:44 PM PDT,Up,24.5,75.28,72.27,-
May 6 2022 8:34:43 PM PDT,Up,26.63,73.2,72.27,-
May 6 2022 8:33:44 PM PDT,Up,30.63,83.97,72.27,-
May 6 2022 8:32:44 PM PDT,Up,29,83.97,72.27,-
May 6 2022 8:31:44 PM PDT,Up,25.13,82.62,72.27,-
May 6 2022 8:30:44 PM PDT,Up,23.5,80.49,72.26,-
May 6 2022 8:29:46 PM PDT,Up,21.5,78.78,72.26,-
May 6 2022 8:28:43 PM PDT,Up,27.38,77.77,72.26,-
May 6 2022 8:27:44 PM PDT,Up,28.63,76.37,72.27,-
May 6 2022 8:26:44 PM PDT,Up,24.88,74.09,72.27,-
May 6 2022 8:25:44 PM PDT,Up,25.25,71.94,72.26,-
May 6 2022 8:24:44 PM PDT,Up,21.88,83.71,72.26,-
May 6 2022 8:23:43 PM PDT,Up,25.63,82.73,72.26,-
May 6 2022 8:22:44 PM PDT,Up,25,81.25,72.26,-
May 6 2022 8:21:44 PM PDT,Up,25.88,80.27,72.25,-
May 6 2022 8:20:43 PM PDT,Up,21.5,78.5,72.25,-
May 6 2022 8:19:43 PM PDT,Up,25.25,77.47,72.25,-
May 6 2022 8:18:44 PM PDT,Up,25.63,77.13,72.25,-
May 6 2022 8:17:44 PM PDT,Up,28,76.39,72.25,-
May 6 2022 8:16:43 PM PDT,Up,27,74.27,72.25,-
May 6 2022 8:15:44 PM PDT,Up,28.13,84.14,72.25,-
May 6 2022 8:14:44 PM PDT,Up,24.13,82.7,72.24,-
May 6 2022 8:13:44 PM PDT,Up,28.25,81.92,72.24,-
May 6 2022 8:12:44 PM PDT,Up,25.88,80.59,72.24,-
May 6 2022 8:11:44 PM PDT,Up,28.75,78.93,72.24,-
May 6 2022 8:10:44 PM PDT,Up,27.5,77.34,72.23,-
May 6 2022 8:09:44 PM PDT,Up,27.13,75.14,72.23,-
May 6 2022 8:08:44 PM PDT,Up,31.25,71.74,72.24,-
May 6 2022 8:07:44 PM PDT,Up,26.13,83.5,72.24,-
May 6 2022 8:06:44 PM PDT,Up,22.38,81.43,72.24,-
May 6 2022 8:05:44 PM PDT,Up,24.13,79.3,72.23,-
May 6 2022 8:04:44 PM PDT,Up,27.63,78.61,72.23,-
May 6 2022 8:03:44 PM PDT,Up,24.38,76.62,72.23,-
May 6 2022 8:02:44 PM PDT,Up,24.75,75.1,72.23,-
May 6 2022 8:01:44 PM PDT,Up,25.75,74.1,72.23,-
May 6 2022 8:00:44 PM PDT,Up,27.75,72.05,72.22,-
May 6 2022 7:59:44 PM PDT,Up,26,83.27,72.22,-
May 6 2022 7:58:44 PM PDT,Up,28.38,80.69,72.22,-
May 6 2022 7:57:47 PM PDT,Up,24.88,78.28,72.22,-
May 6 2022 7:56:44 PM PDT,Up,28,77.16,72.21,-
May 6 2022 7:55:44 PM PDT,Up,32,74.89,72.21,-
May 6 2022 7:54:45 PM PDT,Up,24,74.07,72.21,-
May 6 2022 7:53:43 PM PDT,Up,32.38,72.52,72.21,-
May 6 2022 7:52:45 PM PDT,Up,25.13,84.13,72.21,-
May 6 2022 7:51:43 PM PDT,Up,26,82.95,72.2,-
May 6 2022 7:50:44 PM PDT,Up,27,80.16,72.21,-
May 6 2022 7:49:44 PM PDT,Up,28.13,77.56,72.21,-
May 6 2022 7:48:44 PM PDT,Up,29,75.93,72.2,-
May 6 2022 7:47:44 PM PDT,Up,25.25,73.01,72.2,-
May 6 2022 7:46:43 PM PDT,Up,30.63,82.95,72.2,-
May 6 2022 7:45:45 PM PDT,Up,27.25,81.13,72.2,-
May 6 2022 7:44:44 PM PDT,Up,26.38,77.64,72.2,-
May 6 2022 7:43:45 PM PDT,Up,24.25,75.47,72.19,-
May 6 2022 7:42:44 PM PDT,Up,31,72.51,72.19,-
May 6 2022 7:41:47 PM PDT,Up,25.25,83.7,72.19,-
May 6 2022 7:40:44 PM PDT,Up,24.88,80.78,72.19,-
May 6 2022 7:39:44 PM PDT,Up,23.38,79.61,72.18,-
May 6 2022 7:38:44 PM PDT,Up,24.38,76.14,72.18,-
May 6 2022 7:37:44 PM PDT,Up,24.13,73.41,72.19,-
May 6 2022 7:36:45 PM PDT,Up,28.13,84,72.19,-
May 6 2022 7:35:44 PM PDT,Up,32.38,82.68,72.19,-
May 6 2022 7:34:45 PM PDT,Up,26.25,78.21,72.18,-
May 6 2022 7:33:45 PM PDT,Up,30.88,74.27,72.18,-
May 6 2022 7:32:44 PM PDT,Up,30.63,72.88,72.18,-
May 6 2022 7:31:44 PM PDT,Up,30,82.55,72.18,-
May 6 2022 7:30:44 PM PDT,Up,29.38,79.76,72.18,-
May 6 2022 7:29:44 PM PDT,Up,30.38,76.85,72.17,-
May 6 2022 7:28:44 PM PDT,Up,32.5,74.89,72.17,-
May 6 2022 7:27:45 PM PDT,Up,24.63,71.99,72.17,-
May 6 2022 7:26:44 PM PDT,Up,27.38,83.85,72.17,-
May 6 2022 7:25:46 PM PDT,Up,24.75,83.1,72.16,-
May 6 2022 7:24:43 PM PDT,Up,29.25,81.82,72.16,-
May 6 2022 7:23:44 PM PDT,Up,28.25,79.46,72.16,-
May 6 2022 7:22:45 PM PDT,Up,21.13,77.92,72.16,-
May 6 2022 7:21:44 PM PDT,Up,27.25,75.97,72.16,-
May 6 2022 7:20:44 PM PDT,Up,36.25,73.56,72.15,-
May 6 2022 7:19:44 PM PDT,Up,27.88,83.73,72.15,-
May 6 2022 7:18:44 PM PDT,Up,28.38,79.46,72.15,-
May 6 2022 7:17:44 PM PDT,Up,29.5,75.75,72.16,-
May 6 2022 7:16:44 PM PDT,Up,31.88,72.57,72.15,-
May 6 2022 7:15:43 PM PDT,Up,30.13,83.76,72.15,-
May 6 2022 7:14:44 PM PDT,Up,26.13,80.97,72.15,-
May 6 2022 7:13:44 PM PDT,Up,28.63,78.77,72.15,-
May 6 2022 7:12:44 PM PDT,Up,31.13,77.3,72.15,-
May 6 2022 7:11:44 PM PDT,Up,30.5,75.75,72.14,-
May 6 2022 7:10:44 PM PDT,Up,32.13,72.48,72.14,-
May 6 2022 7:09:44 PM PDT,Up,26.63,83.63,72.14,-
May 6 2022 7:08:46 PM PDT,Up,31.13,81.59,72.14,-
May 6 2022 7:07:45 PM PDT,Up,25.38,78.84,72.13,-
May 6 2022 7:06:44 PM PDT,Up,28.38,76.11,72.13,-
May 6 2022 7:05:44 PM PDT,Up,32.13,74.67,72.13,-
May 6 2022 7:04:44 PM PDT,Up,28.5,82.71,72.13,-
May 6 2022 7:03:44 PM PDT,Up,31.25,79.01,72.12,-
May 6 2022 7:02:44 PM PDT,Up,29.63,76.51,72.12,-
May 6 2022 7:01:44 PM PDT,Up,29.63,73.87,72.13,-
May 6 2022 7:00:44 PM PDT,Up,30.5,83.91,72.13,-
